"CSQ240.Code.or.Value","CSQ240.Value.Description","CSQ240.Count","CSQ240.Cumulative","CSQ240.Skip.to.Item"
"1","Yes",526,526,NA
"2","No",3279,3805,NA
"7","Refused",0,3805,NA
"9","Don't know",10,3815,NA
".","Missing",0,3815,NA
