"SSHE4.Code.or.Value","SSHE4.Value.Description","SSHE4.Count","SSHE4.Cumulative","SSHE4.Skip.to.Item"
"0.38 to 466.9","Range of Values",2388,2388,NA
".","Missing",0,2388,NA
