"CSXSLTRG.Code.or.Value","CSXSLTRG.Value.Description","CSXSLTRG.Count","CSXSLTRG.Cumulative","CSXSLTRG.Skip.to.Item"
"1","Salty",1548,1548,NA
"2","Bitter",20,1568,NA
"3","Something else",10,1578,NA
"4","No Taste",2,1580,NA
"5","Sour",15,1595,NA
".","Missing",2113,3708,NA
