"DEX2CRFU.Code.or.Value","DEX2CRFU.Value.Description","DEX2CRFU.Count","DEX2CRFU.Cumulative","DEX2CRFU.Skip.to.Item"
"1","Yes",132,132,NA
"2","No",2564,2696,NA
".","Missing",296,2992,NA
