"AUXU500L.Code.or.Value","AUXU500L.Value.Description","AUXU500L.Count","AUXU500L.Cumulative","AUXU500L.Skip.to.Item"
"-10 to 105","Range of Values",2608,2608,NA
"666","No response",2,2610,NA
"888","Could not obtain",267,2877,NA
".","Missing",254,3131,NA
