"WTSBA44.Code.or.Value","WTSBA44.Value.Description","WTSBA44.Count","WTSBA44.Cumulative","WTSBA44.Skip.to.Item"
"0 to 358497.69133","Range of Values",946,946,NA
".","Missing",65,1011,NA
