"SPXBFEV5.Code.or.Value","SPXBFEV5.Value.Description","SPXBFEV5.Count","SPXBFEV5.Cumulative","SPXBFEV5.Skip.to.Item"
"574 to 3987","Range of Values",457,457,NA
".","Missing",7038,7495,NA
