"WTSAU01.Code.or.Value","WTSAU01.Value.Description","WTSAU01.Count","WTSAU01.Cumulative","WTSAU01.Skip.to.Item"
"0 to 477437.8749","Range of Values",1719,1719,NA
".","Missing",88,1807,NA
