"LBXBB1.Code.or.Value","LBXBB1.Value.Description","LBXBB1.Count","LBXBB1.Cumulative","LBXBB1.Skip.to.Item"
"1.2 to 2943.1","Range of Values",2032,2032,NA
".","Missing",305,2337,NA
