"PAQ706.Code.or.Value","PAQ706.Value.Description","PAQ706.Count","PAQ706.Cumulative","PAQ706.Skip.to.Item"
"0","0 days",196,196,NA
"1","1 day",96,292,NA
"2","2 days",193,485,NA
"3","3 days",246,731,NA
"4","4 days",212,943,NA
"5","5 days",412,1355,NA
"6","6 days",180,1535,NA
"7","7 days",1202,2737,NA
"77","Refused",0,2737,NA
"99","Don't know",14,2751,NA
".","Missing",27,2778,NA
