"URDUPBLC.Code.or.Value","URDUPBLC.Value.Description","URDUPBLC.Count","URDUPBLC.Cumulative","URDUPBLC.Skip.to.Item"
"0","At or above the detection limit",2390,2390,NA
"1","Below lower detection limit",15,2405,NA
".","Missing",574,2979,NA
