"DXXTRFAT.Code.or.Value","DXXTRFAT.Value.Description","DXXTRFAT.Count","DXXTRFAT.Cumulative","DXXTRFAT.Skip.to.Item"
"1093.3 to 46570.5","Range of Values",3912,3912,NA
".","Missing",1202,5114,NA
