"AUXRR166.Code.or.Value","AUXRR166.Value.Description","AUXRR166.Count","AUXRR166.Cumulative","AUXRR166.Skip.to.Item"
"-27 to 136","Range of Values",3836,3836,NA
".","Missing",664,4500,NA
