"BIXS083K.Code.or.Value","BIXS083K.Value.Description","BIXS083K.Count","BIXS083K.Cumulative","BIXS083K.Skip.to.Item"
"299.1 to 895.47","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
