"WTSSBJ2Y.Code.or.Value","WTSSBJ2Y.Value.Description","WTSSBJ2Y.Count","WTSSBJ2Y.Cumulative","WTSSBJ2Y.Skip.to.Item"
"16608.133384 to 1490958.0724","Range of Values",1672,1672,NA
"0","No lab specimen",0,1672,NA
".","Missing",0,1672,NA
