"RDD060.Code.or.Value","RDD060.Value.Description","RDD060.Count","RDD060.Cumulative","RDD060.Skip.to.Item"
"1 to 56","Range of Values",303,303,NA
"70","70 or more",1,304,NA
"77777","Refused",0,304,NA
"99999","Don't know",10,314,NA
".","Missing",9050,9364,NA
