"OHD08LAS.Code.or.Value","OHD08LAS.Value.Description","OHD08LAS.Count","OHD08LAS.Cumulative","OHD08LAS.Skip.to.Item"
"0 to 10","Range of Values",2268,2268,NA
"99","Calculation cannot be determined",246,2514,NA
".","Missing",4204,6718,NA
