"URDDTZLC.Code.or.Value","URDDTZLC.Value.Description","URDDTZLC.Count","URDDTZLC.Cumulative","URDDTZLC.Skip.to.Item"
"0","At or above detection limit",3,3,NA
"1","Below lower detection limit",2479,2482,NA
".","Missing",212,2694,NA
