"FSD672ZW.Code.or.Value","FSD672ZW.Value.Description","FSD672ZW.Count","FSD672ZW.Cumulative","FSD672ZW.Skip.to.Item"
"1 to 9","Range of Values",85,85,NA
"77","Refused",0,85,NA
"99","Don't know",2,87,NA
".","Missing",9167,9254,NA
