"LBDLUZLC.Code.or.Value","LBDLUZLC.Value.Description","LBDLUZLC.Count","LBDLUZLC.Cumulative","LBDLUZLC.Skip.to.Item"
"0","At or above the detection limit",6492,6492,NA
"1","Below lower detection limit",8,6500,NA
".","Missing",935,7435,NA
