"LBXIE1.Code.or.Value","LBXIE1.Value.Description","LBXIE1.Count","LBXIE1.Cumulative","LBXIE1.Skip.to.Item"
"0.25 to 476","Range of Values",8335,8335,NA
".","Missing",1105,9440,NA
