"WBXF044.Code.or.Value","WBXF044.Value.Description","WBXF044.Count","WBXF044.Cumulative","WBXF044.Skip.to.Item"
"1296.8396 to 1296.8396","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
