"WTSPO05.Code.or.Value","WTSPO05.Value.Description","WTSPO05.Count","WTSPO05.Cumulative","WTSPO05.Skip.to.Item"
"0.0000000 to 837936.0383400","Range of Values",0,0,NA
"0","0",2274,2274,NA
".","Missing",0,2274,NA
