"DXDTOA.Code.or.Value","DXDTOA.Value.Description","DXDTOA.Count","DXDTOA.Cumulative","DXDTOA.Skip.to.Item"
"1071.34 to 2842.93","Range of Values",3669,3669,NA
".","Missing",1445,5114,NA
