"DX2HEA.Code.or.Value","DX2HEA.Value.Description","DX2HEA.Count","DX2HEA.Cumulative","DX2HEA.Skip.to.Item"
"170.05 to 283.61","Range of Values",479,479,NA
".","Missing",6,485,NA
