"DXXPT38X.Code.or.Value","DXXPT38X.Value.Description","DXXPT38X.Count","DXXPT38X.Cumulative","DXXPT38X.Skip.to.Item"
"725.8 to 1266.1","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
