"SSII4UC1.Code.or.Value","SSII4UC1.Value.Description","SSII4UC1.Count","SSII4UC1.Cumulative","SSII4UC1.Skip.to.Item"
"409.79 to 100000","Range of Values",960,960,NA
".","Missing",76,1036,NA
