"PFD069iQ.Code.or.Value","PFD069iQ.Value.Description","PFD069iQ.Count","PFD069iQ.Cumulative","PFD069iQ.Skip.to.Item"
"1 to 68","Range of Values",109,109,NA
"77777","Refused",0,109,NA
"99999","Don't know",0,109,NA
".","Missing",9384,9493,NA
