"WBXP078.Code.or.Value","WBXP078.Value.Description","WBXP078.Count","WBXP078.Cumulative","WBXP078.Skip.to.Item"
"-170.6447 to 163.8122","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
