"RHQ420.Code.or.Value","RHQ420.Value.Description","RHQ420.Count","RHQ420.Cumulative","RHQ420.Skip.to.Item"
"1","Yes",1736,1736,NA
"2","No",1242,2978,NA
"7","Refused",5,2983,NA
"9","Don't know",6,2989,NA
".","Missing",297,3286,NA
