"LBXALN.Code.or.Value","LBXALN.Value.Description","LBXALN.Count","LBXALN.Cumulative","LBXALN.Skip.to.Item"
"15.2 to 803","Range of Values",4405,4405,NA
".","Missing",1238,5643,NA
