"URDSIMLC.Code.or.Value","URDSIMLC.Value.Description","URDSIMLC.Count","URDSIMLC.Cumulative","URDSIMLC.Skip.to.Item"
"0","At or above detection limit",2,2,NA
"1","Below lower detection limit",2478,2480,NA
".","Missing",214,2694,NA
