"URDDPHLC.Code.or.Value","URDDPHLC.Value.Description","URDDPHLC.Count","URDDPHLC.Cumulative","URDDPHLC.Skip.to.Item"
"0","At or above the detection limit",2721,2721,NA
"1","Below lower detection limit",84,2805,NA
".","Missing",181,2986,NA
