"PFD069Q.Code.or.Value","PFD069Q.Value.Description","PFD069Q.Count","PFD069Q.Cumulative","PFD069Q.Skip.to.Item"
"30 to 24837","Range of Values",150,150,NA
"66666","Since birth",5,155,NA
"77777","Refused",0,155,NA
"99999","Don't know",5,160,NA
".","Missing",9506,9666,NA
