"WTSPP4YR.Code.or.Value","WTSPP4YR.Value.Description","WTSPP4YR.Count","WTSPP4YR.Cumulative","WTSPP4YR.Skip.to.Item"
"1856.0364545 to 343500.60404","Range of Values",2571,2571,NA
"0","Non-Respondent",581,3152,NA
".","Missing",0,3152,NA
