"DXDSTPF.Code.or.Value","DXDSTPF.Value.Description","DXDSTPF.Count","DXDSTPF.Cumulative","DXDSTPF.Skip.to.Item"
"10.8 to 57.3","Range of Values",3820,3820,NA
".","Missing",1294,5114,NA
