"DXXPT11X.Code.or.Value","DXXPT11X.Value.Description","DXXPT11X.Count","DXXPT11X.Cumulative","DXXPT11X.Skip.to.Item"
"734.3 to 1270.6","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
