"SSGIV1OM.Code.or.Value","SSGIV1OM.Value.Description","SSGIV1OM.Count","SSGIV1OM.Cumulative","SSGIV1OM.Skip.to.Item"
"0 to 3.5","Range of Values",904,904,NA
".","Missing",132,1036,NA
