"WBXP077.Code.or.Value","WBXP077.Value.Description","WBXP077.Count","WBXP077.Cumulative","WBXP077.Skip.to.Item"
"-174.675 to 168.9551","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
