"RFXT002.Code.or.Value","RFXT002.Value.Description","RFXT002.Count","RFXT002.Cumulative","RFXT002.Skip.to.Item"
"0 to 9","Range of Values",33721,33721,NA
".","Missing",0,33721,NA
