"VTQ270A.Code.or.Value","VTQ270A.Value.Description","VTQ270A.Count","VTQ270A.Cumulative","VTQ270A.Skip.to.Item"
"1","Yes",2119,2119,NA
"2","No",468,2587,NA
"7","Refused",0,2587,NA
"9","Don't know",2,2589,NA
".","Missing",705,3294,NA
