"RHQ541A.Code.or.Value","RHQ541A.Value.Description","RHQ541A.Count","RHQ541A.Cumulative","RHQ541A.Skip.to.Item"
"10","Pills",342,342,NA
"77","Refused",0,342,NA
"99","Don't know",0,342,NA
".","Missing",2956,3298,NA
