"LBDSLDSI.Code.or.Value","LBDSLDSI.Value.Description","LBDSLDSI.Count","LBDSLDSI.Cumulative","LBDSLDSI.Skip.to.Item"
"35 to 587","Range of Values",6890,6890,NA
".","Missing",555,7445,NA
