"URXUSR.Code.or.Value","URXUSR.Value.Description","URXUSR.Count","URXUSR.Cumulative","URXUSR.Skip.to.Item"
"1.655 to 927.71","Range of Values",3061,3061,NA
".","Missing",218,3279,NA
