"DBQ223A.Code.or.Value","DBQ223A.Value.Description","DBQ223A.Count","DBQ223A.Cumulative","DBQ223A.Skip.to.Item"
"10","Whole or regular,",2906,2906,NA
"77","Refused",0,2906,NA
"99","Don't know",18,2924,NA
".","Missing",6330,9254,NA
