"SPQ100.Code.or.Value","SPQ100.Value.Description","SPQ100.Count","SPQ100.Cumulative","SPQ100.Skip.to.Item"
"1","Yes",22,22,"SPAENA"
"2","No",6874,6896,""
"7","Refused",0,6896,"SPAENA"
"9","Don't know",1,6897,"SPAENA"
".","Missing",598,7495,""
