"URD25TLC.Code.or.Value","URD25TLC.Value.Description","URD25TLC.Count","URD25TLC.Cumulative","URD25TLC.Skip.to.Item"
"0","At or above the detection limit",5,5,NA
"1","Below lower detection limit",2742,2747,NA
".","Missing",84,2831,NA
