"OHXRRESO.Code.or.Value","OHXRRESO.Value.Description","OHXRRESO.Count","OHXRRESO.Cumulative","OHXRRESO.Skip.to.Item"
"1","Root restoration detected",192,192,NA
"2","Root restoration not detected",4723,4915,NA
"9","Cannot be accessed",1,4916,NA
".","Missing",3450,8366,NA
