"AUDTYR34.Code.or.Value","AUDTYR34.Value.Description","AUDTYR34.Count","AUDTYR34.Cumulative","AUDTYR34.Skip.to.Item"
"0 to 2.06","Range of Values",3840,3840,NA
".","Missing",660,4500,NA
