"DX2HETV.Code.or.Value","DX2HETV.Value.Description","DX2HETV.Count","DX2HETV.Cumulative","DX2HETV.Skip.to.Item"
"0","Valid data",479,479,NA
"1","Jewelry or other objects not removed",0,479,NA
"2","Non-removable objects",0,479,NA
"5","Body parts out of scan region",0,479,NA
"7","Other",0,479,NA
".","Missing",6,485,NA
