"TYXP096.Code.or.Value","TYXP096.Value.Description","TYXP096.Count","TYXP096.Cumulative","TYXP096.Skip.to.Item"
"-269 to 132","Range of Values",5567,5567,NA
".","Missing",18,5585,NA
