"SSSalIgM.Code.or.Value","SSSalIgM.Value.Description","SSSalIgM.Count","SSSalIgM.Cumulative","SSSalIgM.Skip.to.Item"
"0 to 1.681","Range of Values",1119,1119,NA
".","Missing",8,1127,NA
