"CIQD054.Code.or.Value","CIQD054.Value.Description","CIQD054.Count","CIQD054.Cumulative","CIQD054.Skip.to.Item"
"1","Still going on",20,20,NA
"5","Ended",41,61,NA
"7","Refuse",0,61,NA
"9","Don't know",0,61,NA
".","Missing",789,850,NA
