"ARQ030D.Code.or.Value","ARQ030D.Value.Description","ARQ030D.Count","ARQ030D.Cumulative","ARQ030D.Skip.to.Item"
"1","Yes",208,208,""
"2","No",1201,1409,"ARQ030e"
"7","Refused",0,1409,"ARQ030e"
"9","Don't know",13,1422,"ARQ030e"
".","Missing",3684,5106,""
