"OPDDPIGA.Code.or.Value","OPDDPIGA.Value.Description","OPDDPIGA.Count","OPDDPIGA.Cumulative","OPDDPIGA.Skip.to.Item"
"0","No",2951,2951,NA
"1","Yes",117,3068,NA
".","Missing",795,3863,NA
