"LBDIT3LC.Code.or.Value","LBDIT3LC.Value.Description","LBDIT3LC.Count","LBDIT3LC.Cumulative","LBDIT3LC.Skip.to.Item"
"0","At or above the detection limit",812,812,NA
"1","Below lower detection limit",6569,7381,NA
"2","Above upper detection limit",0,7381,NA
".","Missing",2059,9440,NA
