"LBDGTCSI.Code.or.Value","LBDGTCSI.Value.Description","LBDGTCSI.Count","LBDGTCSI.Cumulative","LBDGTCSI.Skip.to.Item"
"0.394 to 28.824","Range of Values",6731,6731,NA
".","Missing",704,7435,NA
