"RFXC125.Code.or.Value","RFXC125.Value.Description","RFXC125.Count","RFXC125.Cumulative","RFXC125.Skip.to.Item"
"-4.185 to 5.948","Range of Values",33683,33683,NA
".","Missing",38,33721,NA
