"DTD190Q.Code.or.Value","DTD190Q.Value.Description","DTD190Q.Count","DTD190Q.Cumulative","DTD190Q.Skip.to.Item"
"0 to 60","Range of Values",7845,7845,NA
"777","Refused",3,7848,NA
"999","Don't know",8,7856,NA
".","Missing",685,8541,NA
