"LBXTIB.Code.or.Value","LBXTIB.Value.Description","LBXTIB.Count","LBXTIB.Cumulative","LBXTIB.Skip.to.Item"
"190 to 721","Range of Values",3096,3096,NA
".","Missing",442,3538,NA
