"LBXTLAL.Code.or.Value","LBXTLAL.Value.Description","LBXTLAL.Count","LBXTLAL.Cumulative","LBXTLAL.Skip.to.Item"
"0.1 to 2.38","Range of Values",1772,1772,NA
".","Missing",833,2605,NA
