"LBDTSH1S.Code.or.Value","LBDTSH1S.Value.Description","LBDTSH1S.Count","LBDTSH1S.Cumulative","LBDTSH1S.Skip.to.Item"
"0.035 to 55.49","Range of Values",1970,1970,NA
".","Missing",207,2177,NA
