"WTSPO13.Code.or.Value","WTSPO13.Value.Description","WTSPO13.Count","WTSPO13.Cumulative","WTSPO13.Skip.to.Item"
"0.0000000 to 839691.1726700","Range of Values",0,0,NA
"0","0",2274,2274,NA
".","Missing",0,2274,NA
