"DXXTATM.Code.or.Value","DXXTATM.Value.Description","DXXTATM.Count","DXXTATM.Cumulative","DXXTATM.Skip.to.Item"
"210.71 to 5772.72","Range of Values",4055,4055,NA
".","Missing",1059,5114,NA
